F1,F2,F3,F4,F5,F6,F7,Q1,Q1S1,Q1S2_1,Q1S2_2,Q1S2_3,Q1S2_4,Q1S2_5,Q1S2_6,Q1S2_7,Q1S2_8,Q1S2_9,Q2,Q2S1,Q2S2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3
1,62,4,6,1,2,2,1,8,,,,,,,,,,4,2,,",,,,,1,,,",5,1,4,2,,5,
2,26,2,1,1,1,2,1,3,,,,,,,,,,4,2,,",,,,1,,,,",5,5,5,4,,,4
1,58,2,9,2,2,3,2,1,,,,,,,,,,1,2,,",1,1,,1,1,,,",5,1,1,2,4,,
1,56,4,1,3,1,2,2,9,,,,,,,,,,8,,9,"1,,,,,,,,",4,4,5,2,,,2
1,73,2,2,2,1,3,4,,,,,,1,,,,,1,2,,",,,,1,,,,",3,4,3,2,,,2
2,29,4,1,2,2,9,2,3,,,,,,,,,,3,2,,"1,,,,,,,,",4,1,1,4,,,4
1,67,2,1,3,1,2,2,1,,,,,,,,,,1,2,,",,,,,1,,,",2,3,3,4,3,,
1,68,2,9,2,1,2,1,9,,,,,,,,,,9,,,",,,,,,,,1",4,2,3,2,,4,
1,77,2,9,3,1,2,1,1,,,,,,,,,,8,,1,",,,,,1,,,",3,2,2,2,3,,
2,36,2,1,2,1,2,2,2,,,,,,,,,,8,,2,"1,,,,,,,,",5,1,5,2,,,3
1,52,2,9,1,1,6,1,3,,,,,,,,,,3,2,,",,,1,1,,,,",3,3,3,3,,4,
1,63,2,6,2,2,4,2,3,,,,,,,,,,2,2,,"1,,,,,,,,",3,2,1,1,4,,
1,42,4,9,2,2,3,5,,,,,,,,,,,8,,9,",,,,,,,1,",3,4,3,2,,,2
1,49,3,9,2,1,2,2,2,,,,,,,,,,2,2,,",,,,,,,1,",5,3,4,2,,,2
2,46,2,1,1,1,3,1,1,,,,,,,,,,1,2,,",,,,,,,1,",3,3,3,3,,4,
1,51,4,9,3,1,2,1,1,,,,,,,,,,6,2,,",1,,,,,,,",5,1,5,5,,1,
1,44,4,2,2,1,3,1,3,,,,,,,,,,1,2,,",,,,,,,,",5,5,5,2,,3,
1,61,2,6,1,1,2,2,9,,,,,,,,,,9,,,",,,,,,,1,",3,3,2,2,,,5
1,50,4,6,2,1,2,2,1,,,,,,,,,,1,1,,",1,,,,1,,,",5,4,5,2,2,,
2,62,4,6,1,2,6,4,,,,,,,,,,1,9,,,",,,,,,,,1",3,3,3,3,,3,
1,88,3,7,1,1,3,1,2,,,,,,,,,,3,2,,",,,,,,,1,",3,2,2,2,,,5
1,79,4,1,2,1,9,1,2,,,,,,,,,,2,2,,"1,,,1,1,,,,",5,4,3,2,1,,
2,60,2,1,1,1,3,2,9,,,,,,,,,,4,2,,",,,,1,,,,",4,2,3,2,,3,
2,45,4,9,2,1,1,2,1,,,,,,,,,,1,2,,",1,1,,,1,,,",5,3,2,2,3,,
1,69,4,2,2,1,2,3,,,,,1,,,,,,1,2,,",,,,,1,,,",1,2,2,2,2,,
2,59,2,1,1,1,1,1,2,,,,,,,,,,8,,8,"1,,,,,,,,",5,1,3,2,1,,
1,69,4,1,2,2,2,4,,,,1,,1,,,,,8,,1,",,,,,,,1,",1,1,1,2,4,,
1,19,4,2,2,1,4,3,,,,1,1,,,,,,1,2,,",1,,,1,1,,,",5,4,5,2,,3,
1,70,2,6,2,1,7,1,1,,,,,,,,,,1,2,,",,,,,1,,,",4,1,3,3,,5,
1,71,4,6,2,1,6,1,1,,,,,,,,,,1,2,,",,1,,,,,,",4,4,2,4,,,3
2,52,2,1,1,2,7,3,,,,,,,,,,1,3,2,,",,,,,,,1,",2,2,3,2,,,1
2,49,3,6,2,1,2,4,,,,,,,1,,,,8,,1,",,,,1,,,,",2,1,2,2,2,,
2,36,4,6,1,1,3,2,7,,,,,,,,,,8,,5,"1,,,,,,,,",3,1,2,2,4,,
1,68,3,7,2,2,1,2,9,,,,,,,,,,1,2,,",,,,,1,,,",5,3,3,4,,3,
1,46,2,6,2,1,3,4,,,,,1,,,,,,9,,,",,,,,,,,1",3,3,3,3,1,,
1,44,3,9,2,1,4,1,1,,,,,,,,,,1,1,,",,,,,,,1,",1,4,1,1,,1,
2,52,3,1,2,2,2,2,1,,,,,,,,,,1,2,,",,,,,,,,",5,4,5,2,,5,
1,32,2,2,1,1,2,1,2,,,,,,,,,,5,1,,"1,,,1,1,,1,,",5,4,5,2,,4,
2,43,3,7,3,1,2,2,1,,,,,,,,,,1,2,,",1,1,,,1,,,",5,2,3,2,4,,
2,30,4,2,2,1,4,1,4,,,,,,,,,,8,,8,",,,,,1,,,",2,1,2,2,,,2
1,46,3,9,2,2,3,1,2,,,,,,,,,,2,2,,"1,,,,,,,,",2,2,2,2,2,,
1,52,2,7,2,1,1,2,9,,,,,,,,,,8,,5,"1,,,,1,,,,",3,3,4,3,,1,
2,64,4,1,3,1,9,2,1,,,,,,,,,,1,2,,",,,,,1,,,",3,1,3,2,,,1
2,30,2,1,1,2,7,2,1,,,,,,,,,,1,2,,",1,1,,,1,,,",5,3,4,2,,1,
2,70,3,6,2,2,2,3,,,,,,,,1,,,1,2,,",,,,,,,1,",3,3,3,3,,,2
2,48,4,7,1,1,3,2,6,,,,,,,,,,8,,6,"1,,,,1,,,,",4,1,2,2,,,5
2,66,2,6,1,1,3,4,,,,,,,,,,1,1,2,,",1,1,,,1,,,",4,3,4,2,1,,
2,67,2,6,1,1,2,2,9,,,,,,,,,,9,,,",,,,,,,,1",5,3,3,2,,,2
2,66,3,1,2,1,2,3,,,1,,,,,,,,1,2,,",,,,,1,,,",2,1,1,2,,2,
2,63,4,1,2,1,4,1,1,,,,,,,,,,1,2,,",,,,1,1,,,",4,3,3,2,,,5
2,61,4,1,2,2,4,1,8,,,,,,,,,,3,2,,"1,,,,1,,,,",5,4,3,2,3,,
2,54,1,7,1,1,2,1,1,,,,,,,,,,1,1,,",1,1,,,1,,,",5,2,5,2,2,,
1,70,4,1,2,1,1,2,3,,,,,,,,,,4,2,,",,,,1,1,,,",5,1,1,2,,,3
2,40,4,1,1,2,3,3,,,,,,,,,,1,9,,,",,,,,,,1,",3,3,3,3,,5,
1,25,4,3,2,1,1,1,9,,,,,,,,,,8,,8,",,,,,,,1,",3,3,3,3,,,2
1,29,4,7,2,1,2,1,2,,,,,,,,,,1,2,,",,,1,1,,,,",3,3,2,2,,,5
2,65,3,7,2,1,3,4,,,,,,1,1,,,,5,2,,",,,,,,,1,",2,1,1,2,,,4
2,74,3,3,1,1,7,4,,,,,,,1,,,,8,,9,",,,,1,1,,,",3,3,3,3,1,,
1,78,4,7,2,1,6,2,1,,,,,,,,,,1,2,,",1,1,,,1,,,",3,3,3,2,3,,
1,64,4,8,2,2,7,4,,,,,,,,,,1,9,,,",,,,,,,1,",3,3,2,2,3,,
2,51,4,1,1,1,9,2,1,,,,,,,,,,3,1,,",1,1,,,1,,,",5,5,3,2,,4,
2,72,4,1,2,1,2,2,3,,,,,,,,,,3,2,,",,,,,,,1,",3,3,2,2,,5,
1,55,4,1,1,1,7,3,,1,,,,,,,,,1,2,,",1,,,,,,,",4,3,3,2,4,,
1,49,4,1,1,1,4,1,2,,,,,,,,,,8,,2,"1,,,,,,,,",4,3,2,2,,,2
1,48,3,9,1,1,2,1,9,,,,,,,,,,8,,8,",,,,,,,1,",5,1,2,3,,,1
2,24,2,9,1,1,6,1,3,,,,,,,,,,4,2,,"1,,,,1,1,,,",4,1,2,2,2,,
1,54,2,1,2,1,1,1,3,,,,,,,,,,4,2,,",,,,1,1,,,",4,3,2,2,3,,
1,29,3,6,2,1,2,1,3,,,,,,,,,,8,,4,"1,,,,,,,,",4,2,2,2,,1,
1,44,2,2,1,1,9,1,1,,,,,,,,,,1,1,,",,,,,1,,,",5,1,4,2,,3,
2,71,3,6,2,1,4,3,,,1,,,,,,,,8,,8,",,,,,,,1,",3,3,2,2,2,,
2,63,2,9,1,2,3,2,2,,,,,,,,,,2,2,,",,,,,,,1,",5,3,2,2,2,,
2,55,2,7,2,2,2,1,1,,,,,,,,,,8,,4,",,,,,,,1,",5,5,1,2,,2,
1,22,2,10,2,2,4,1,3,,,,,,,,,,9,,,",,,,,,,1,",5,3,3,2,,1,
2,27,2,6,2,2,2,1,1,,,,,,,,,,8,,8,",1,,,,1,,,",4,1,2,2,,4,
1,24,2,6,3,1,2,2,9,,,,,,,,,,8,,6,",,,,,1,,,",5,5,1,2,1,,
2,79,1,1,2,1,1,2,9,,,,,,,,,,9,,,",,,,,,,1,",5,1,2,2,,,2
1,33,4,1,2,1,2,4,,,,,,,,,,1,8,,8,",,,,,,,1,",2,1,4,2,3,,
2,43,2,1,2,1,2,3,,,,,,,,,,1,9,,,",,,,,,,,1",3,3,3,3,4,,
1,43,4,1,1,2,8,1,3,,,,,,,,,,1,2,,",1,1,,1,1,,,",5,5,4,2,,,5
1,51,2,6,1,1,2,3,,,,1,,,,,,,1,2,,",,,,,,,1,",4,4,2,2,,5,
1,29,2,1,2,1,9,3,,,,,1,,,,,,4,2,,",,,,1,1,,,",4,1,1,2,,,2
